,Bag-Of-Words,BERT,InferSent,Self-Attentive,TF-IDF
431,0,1,1,1,0
432,1,1,1,1,1
433,0,1,1,1,0
434,0,1,1,1,0
435,0,1,0,1,1
436,0,1,1,1,0
437,1,1,1,1,1
438,0,1,1,1,0
439,1,1,1,1,1
440,1,1,1,1,1
441,1,1,1,1,1
442,1,1,1,1,1
443,1,1,1,1,1
444,1,1,1,1,1
445,1,1,1,1,1
446,0,1,1,1,0
447,1,1,1,1,1
448,0,0,1,1,0
449,1,1,1,1,1
450,1,1,1,1,1
451,0,1,1,1,1
452,1,1,1,1,1
453,1,1,1,1,1
454,1,1,1,1,1
455,1,1,1,1,1
456,1,1,1,1,1
457,1,1,1,1,1
458,1,1,1,1,1
459,0,1,1,1,0
460,1,1,1,1,1
461,0,1,1,1,1
462,1,1,1,1,0
463,0,1,1,1,0
464,1,1,1,1,1
465,1,1,1,1,1
466,1,1,1,1,1
467,1,1,1,1,1
468,1,1,1,1,1
469,1,1,1,1,1
470,1,1,1,1,1
471,1,1,1,1,1
472,1,1,1,1,1
473,0,1,1,1,0
474,0,1,1,1,0
475,1,1,1,1,1
476,1,0,1,1,1
477,1,1,1,1,1
478,0,1,1,1,0
479,1,0,1,1,1
